"year","state_abbreviation","state","number_on_parole_per_100000_us_adult_residents"
2015,"TN","Tennessee","255"
2015,"TX","Texas","547"
2015,"UT","Utah","167"
2015,"VT","Vermont","215"
2015,"VA","Virginia","24"
2015,"WA","Washington","200"
2015,"WV","West Virginia","213"
2015,"WI","Wisconsin","434"
2015,"WY","Wyoming","181"
2016,"AL","Alabama","227"
2016,"AK","Alaska","326"
2016,"AZ","Arizona","140"
2016,"AR","Arkansas","1038"
2016,"CA","California","309"
2016,"CO","Colorado","236"
2016,"CT","Connecticut","119"
2016,"DE","Delaware","52"
2016,"FL","Florida","27"
2016,"GA","Georgia","285"
2016,"HI","Hawaii","122"
2016,"ID","Idaho","402"
2016,"IL","Illinois","298"
2016,"IN","Indiana","165"
